1.,Der Ausbildungsbetrieb,,,,,,,,,,
1.1,"Stellung, Rechtsform und Struktur",Aufgaben und Stellung des Ausbildungsbetriebes im gesamtwirtschaftlichen Zusammenhang beschreiben,Aufbau des ausbildenden Betriebes erläutern,Art und Rechtsform des Betriebes erläutern,"Die Zusammenarbeit des Ausbildungsbetriebes mit Wirtschaftsorganisationen, Verbänden, Behörden und Gewerkschaften beschreiben",,,,,,
1.2,"Berufsbildung, Arbeits- und Tarifrecht","Rechtliche Vorschriften zur Berufsausbildung erläutern, Rechte und Pflichten aus dem Ausbildungsverhältnis erklären",Die Ausbildungsordnung mit dem betrieblichen Ausbildungsplan vergleichen,Die Notwendigkeit weiterer beruflicher Qualifizierung begründen,Berufliche Fortbildungsmöglichkeiten beschreiben und Aufstiegsmöglichkeiten nennen,Wesentliche Bestimmungen des Arbeits- und Tarifrechtes beschreiben und ihre Bedeutung für das Arbeitsverhältnis erklären,Eigene Entgeltabrechnung erläutern,"Grundlagen, Aufgaben und Arbeitsweise der betriebsverfassungsrechtlichen oder personalvertretungsrechtlichen Organe des ausbildenden Betriebes beschreiben",,,
1.3,Sicherheit und Gesundheitsschutz bei der Arbeit,Gefährdung von Sicherheit und Gesundheit am Arbeitsplatz feststellen und Maßnahmen zu ihrer Vermeidung ergreifen,Berufsbezogene Arbeitsschutz- und Unfallverhütungsvorschriften anwenden,Verhaltensweisen bei Unfällenbeschreiben sowie erste Maß nahmen einleiten,Vorschriften des vorbeugenden Brandschutzes anwenden; Verhaltensweisen bei Bränden beschreiben und Maßnahmen zur Brandbekämpfung ergreifen,,,,,,
1.4,Umweltschutz - Vermeidung betriebsbedingter Umweltbelastungen im beruflichen Einwirkungsbereich,Mögliche Umweltbelastungen durch den Ausbildungsbetrieb und seinen Beitrag zum Umweltschutz an Beispielen erklären,Für den Ausbildungsbetrieb geltende Regelungen des Umweltschutzes anwenden,Möglichkeiten der wirtschaftlichen und umweltschonenden Energie- und Materialverwendung nutzen,Abfälle vermeiden; Stoffe und Materialien einer umweltschonenden Entsorgung zuführen,,,,,,
2.,Geschäfts- und Leistungsprozesse,,,,,,,,,,
2.1,Leistungserstellung und -verwertung,Den Prozeß der Leistungserstellung im Ausbildungsbetrieb beschreiben,Wirtschaftlichkeit und Produktivität betrieblicher Leistungen beurteilen,Einfluß der Wettbewerbssituation auf die Leistungserstellung und -verwertung darstellen,Die Rolle von Kunden und Lieferanten für die Leistungserstellung und -verwertung erläutern,,,,,,
2.2,Betriebliche Organisation,Zuständigkeiten für die unterschiedlichen Aufgaben im Ausbildungsbetrieb unterscheiden,"Die Zusammenarbeit zwischen den einzelnen Organisationseinheiten beschreiben, insbesondere Informationsflüsse und Entscheidungsprozesse darstellen",Vor- und Nachteile von zentralen und dezentralen Organisationsformen erläutern,"Schwachstellen im Betriebsablauf aufzeigen, Verbesserungen vorschlagen",,,,,,
2.3,Beschaffung,Bedarf an informations- und telekommunikationstechnischen Produkten und Dienstleistungen ermitteln,Produktinformationen von Anbietern unter wirtschaftlichen und fachlichen Gesichtspunkten auswerten,Angebote einholen und vergleichen,"Bestellvorgänge planen und durchführen, Wareneingang kontrollieren",,,,,,
2.4,Markt- und Kundenbeziehungen,"Bei der Marktbeobachtung mitwirken, insbesondere Preise, Leistungen, Konditionen von Wettbewerbern vergleichen",Bedürfnisse und Kaufverhalten von Benutzern informations- und telekommunikationstechnischer Systeme feststellen sowie Zielgruppen unterscheiden,Kunden unter Beachtung von Kommunikationsregeln informieren und beraten sowie Kundeninteressen berücksichtigen,Kundenbeziehungen unter Berücksichtigung betrieblicher Grundsätze gestalten,"An der Vorbereitung von Verträgen und Vertragsverhandlungen mitwirken, über Finanzierungsmöglichkeiten informieren",An Marketing- und Verkaufsförderungsmaßnahmen mitwirken,Auswirkungen der Kundenzufriedenheit auf das Betriebsergebnis darstellen,,,
2.5,Kaufmännische Steuerung und Kontrolle,Die Notwendigkeit der Steuerung und Kontrolle der Geschäftsprozesse begründen,KostenundErträgefürerbrachteLeistungenerrechnensowie im Zeitvergleich und im Soll-Ist-Vergleich bewerten,ErgebnissederBetriebsabrechnungfürControllingzwecke auswerten,"DatenfürdieErstellungvonStatistikenbeschaffenundaufbe- reiten, in geeigneter Form darstellen und interpretieren",,,,,,
3.,Arbeitsorganisation und Arbeitstechniken,,,,,,,,,,
3.1,Informieren und Kommunizieren,"Informationsquellen, insbesondere technische Unterlagen, Dokumentationen und Handbücher, in deutscher und englischer Sprache aufgabenbezogen auswerten","Gespräche situationsgerecht führen und Sachverhaltepräsentieren, deutsche und englische Fachbegriffe anwenden",Informationen aufgabenbezogen bewerten und auswählen,Schriftverkehr durchführen und Protokolle anfertigen,Daten und Sachverhalte visualisieren und Grafiken erstellen sowie Standardsoftware anwenden,,,,,
3.2,Planen und Organisieren,Zeitplan und Reihenfolge der Arbeitsschritte für den eigenen Arbeitsbereich festlegen,Den eigenen Arbeitsplatz unter Berücksichtigung betrieblicher Vorgaben und ergonomischer Aspekte gestalten,"Termine planen und abstimmen, Terminüberwachung durchführen","Probleme analysieren und als Aufgabe definieren, Lösungsalternativen entwickeln und beurteilen",Unterschiedliche Lerntechnikenanwenden,Maßnahmen zur Verbesserung der Arbeitsorganisation und der Arbeitsgestaltung vorschlagen,Arbeits-und Organisationsmittel wirtschaftlich und ökologisch einsetzen,,,
3.3,Teamarbeit,"Aufgaben im Team planen, entsprechend den individuellen Fähigkeiten aufteilen, Zusammenarbeit aktiv gestalten","Aufgaben im Team bearbeiten, Ergebnisse abstimmen und auswerten",Möglichkeiten zur Konfliktregelung im Interesse eines sachbezogenen Ergebnisses anwenden,,,,,,,
4.,Informations- und telekommunikationstechnische Produkte und Märkte,,,,,,,,,,
4.1,Einsatzfelder und Entwicklungstrends,"Marktgängige Systeme der Informations- und Telekommunikationstechnik nach Einsatzbereichen, Leistungsfähigkeit und Wirtschaftlichkeit unterscheiden","Veränderungen von Einsatzfeldern für Systeme der Informations- und Telekommunikationstechnik aufgrund technischer, wirtschaftlicher und gesellschaftlicher Entwicklungen feststellen","Technologische Entwicklungstrends von Systemen der Informations- und Telekommunikationstechnik feststellen sowie ihre wirtschaftlichen, sozialen und beruflichen Auswirkungen bewerten",Auswirkungen der technologischen Entwicklung auf Lösungskonzepte aktueller informations- und telekommunikations- technischer Systeme darstellen,,,,,,
4.2,"Systemarchitektur, Hardware und Betriebssysteme","Systemarchitekturen und Hardwareschnittstellen marktgängiger informations- und telekommunikationstechnischer Systeme unterscheiden sowie Kompatibilität von Speicherbausteinen, Ein-/Ausgabekomponenten und Peripheriegeräten beurteilen",Verschiedene Speichermedien sowie Ein- und Ausgabegeräte nach Einsatzbereichen unterscheiden,"Marktgängige Betriebssysteme, ihre Komponenten und ihre Anwendungsbereiche unterscheiden",,,,,,,
4.3,Anwendungssoftware,Anwendungssoftware nach Einsatzbereichen unterscheiden,Hardware- und Systemvoraussetzungen beurteilen,Leistungsfähigkeit und Erweiterbarkeit beurteilen,,,,,,,
4.4,"Netze, Dienste",Hard- und Softwaresysteme sowie gängige Datenformate zur Datenübertragung unterscheiden,Netzwerkarchitekturen unterscheiden,Netzwerkbetriebssysteme nach Leistungsfähigkeit und Einsatzbereichen beurteilen,Angebote von Informations- und Telekommunikationsdiensten und Konditionen zur Nutzung vergleichen,Systemtechnische Voraussetzungen für die Nutzung von Informations- und Telekommunikationsdiensten schaffen,,,,,
5.,Herstellen und Betreuen von Systemlösungen,,,,,,,,,,
5.1,Ist-Analyse und Konzeption,"Hard- und Software-Ausstattung eines Arbeitsplatzsystems zur Bearbeitung betrieblicher Fachaufgaben ermitteln sowie Arbeitsablauf, Datenflüsse und Schnittstellen analysieren",Anforderungen an ein Arbeitsplatzsystem unter Berücksichtigung der organisatorischen Abläufe und der Anforderungen der Benutzer feststellen,Hard- und Softwarekomponenten auswählen sowie Lösungsvarianten entwickeln und beurteilen,Datenmodelle entwerfen,Die zu erbringende Leistung dokumentieren,,,,,
5.2,Programmiertechniken,Prozedurale und objektorientierte Programmiersprachen unterscheiden,Programmierlogik und Programmiermethoden anwenden,Anwendungen in einer Makro- oder Programmiersprache erstellen,,,,,,,
5.3,Installieren und Konfigurieren,Systeme zusammenstellen und verbinden,Hardware und Betriebssystem installieren und konfigurieren,"Anwendungsprogramme, insbesondere marktübliche Büroanwendungen, installieren und konfigurieren",Systeme testen,Konfigurationsdaten festhalten sowie Systemdokumentation zusammenstellen,,,,,
5.4,Datenschutz und Urheberrecht,Verschlüsselungsverfahren und Zugriffsschutzmethoden anwenden,Vorschriften zum Datenschutz anwenden,Vorschriften zum Urheberrecht anwenden,Technische Vorschriften zur Sicherung des Fernmeldegeheimnisses anwenden,"Daten archivieren, nicht mehr benötigte Datenbestände löschen, Datenträger entsorgen",,,,,
5.5,Systempflege,Datenbankmodelle unterscheiden,"Datenbanken einrichten und verwalten, Datenbankabfragen durchführen",Daten unterschiedlicher Formate übernehmen,Daten für unterschiedliche Hard- und Softwaresysteme konvertieren,Datensicherung durchführen,Methoden zur Wiederherstellung von Daten einschließlich Daten defekter Datenträger anwenden,Versionswechsel von Betriebssystemen und Anwendungssoftware durchführen,"Störungen unter Einsatz von Diagnosewerkzeugen analysieren und beheben, Fehlertypologie und Fehlerhäufigkeiten ermitteln",Wartungsmaßnahmen durchführen,"Serviceleistungen dokumentieren, kalkulieren und abrechnen"
6.,Systementwicklung,,,,,,,,,,
6.1,Analyse und Design,Vorgehensmodelle und -methoden sowie Entwicklungsumgebungen aufgabenbezogen auswählen und anwenden,Strukturierte und objektorientierte Analyse- und Designverfahren anwenden,"Programmspezifikationen festlegen, Datenmodelle und Strukturen aus fachlichen Anforderungen ableiten, Schnittstellen festlegen",Methoden zur Strukturierung von Daten und Programmen anwenden,"Daten und Funktionen zu Objekten zusammenfassen, Klassen definieren und Hierarchiediagramme erstellen",,,,,
6.2,Programmerstellung und -dokumentation,"Programmiersprachen auswählen, unterschiedliche Programmiersprachen anwenden",Softwareentwicklungsumgebungen an das Systemumfeld anpassen,"Schnittstellen, insbesondere zum Betriebssystem, zu graphischen Oberflächen und zu Datenbanken, aus Programmen ansprechen",Programme entsprechend den fachinhaltlichen Funktionen modular aufbauen,Programme unter Berücksichtigung der Wartbarkeit und Wiederverwendbarkeit erstellen,Software- Entwicklungswerkzeuge aufgabenbezogen anwenden,"Softwarekonfiguration verwalten, insbesondere Konfigurationsmanagement durchführen",,,
6.3,Schnittstellenkonzepte,"Verfahren des Datenaustausches anwenden, Produkte zum Datenaustausch einsetzen",Datenfelder mit Hilfe von Werkzeugen inhaltlich und strukturell abgleichen,,,,,,,,
6.4,Testverfahren,Testkonzept und Testplan erstellen,"Testumfang festlegen, Testdaten generieren und auswählen",Informations- und telekommunikationstechnische Systeme testen,Testergebnisse auswerten und dokumentieren,,,,,,
7.,Schulung,Schulungsziele und -methoden festlegen,"Schulungsmaßnahmen, insbesondere Termine, Sachmittel und Personaleinsatz, planen und mit Kunden abstimmen",Schulungsveranstaltungen organisatorisch vorbereiten,Schulungsinhalte strukturieren und aufbereiten,Anwenderschulung durchführen,,,,,
8.,Informations- und telekommunikationstechnische Systeme,,,,,,,,,,
8.1,Architekturen,Rechnerarchitekturen beurteilen und einordnen,Softwarearchitekturen aufgabenbezogen entwickeln,Softwarearchitekturen an Betriebssysteme anpassen,Softwarearchitekturen in Netze integrieren,Betriebssysteme anpassen und konfigurieren,,,,,
8.2,Datenbanken und Schnittstellen,Datenbankprodukte aufgabengerecht auswählen,"Datenbankstrukturen, insbesondere logische Struktur der Daten, Objekte, Attribute, Relationen und Zugriffsmethoden, festlegen sowie Schlüssel definieren","Sicherheitsmechanismen, insbesondere Zugriffsmöglichkeiten und -rechte, festlegen und implementieren",Werkzeuge zur Sicherstellung der Datenintegrität implementieren,Datenbanksysteme testen und optimieren,Datenbestände strukturieren und in eine Datenbank übernehmen,Abfragen und Berichte von Datenbeständen unter Nutzung einer Abfragesprache erstellen,Schnittstellenprogramme in einer Datenbankprogrammiersprache erstellen,,
9.,kundenspezifische Anwendungslösungen,,,,,,,,,,
9.1,"kundenspezifische Anpassung und Softwarepflege,","Anwendungslösungen entsprechend den kundenspezifischen Anforderungen einrichten, konfigurieren und anpassen",Software an eine veränderte Umgebung anpassen und weiterentwickeln,Anwendungslösungen mit Hilfe von Applikationssprachen erweitern,Fehler beseitigen,Konfigurationen verwalten,,,,,
9.2,Bedienoberflächen,Menügesteuerte und grafische Bedienoberflächen ergonomisch gestalten,Bedienoberflächen an die betrieblichen Erfordernisse anpassen,Interaktive Applikationen unter Berücksichtigung fach- und benutzergerechter Dialoggestaltung erstellen,,,,,,,
9.3,Softwarebasierte Präsentation,"Konzepte für softwarebasierte Präsentationen erstellen, insbesondere Abläufe festlegen sowie Ton, Bild und Text auswählen","Ton, Bild und Text in eine Präsentation integrieren",Präsentationen durchführen,,,,,,,
9.4,Technisches Marketing,Leistungsumfang und Spezifikationen erstellter Anwendungslösungen kundengerecht dokumentieren,Anwendungslösungen und Dokumentationen für den Vertrieb bereitstellen,Anwendungslösungen präsentieren,Bedienungsunterlagen und Hilfe-Programme zur Benutzerunterstützung bereitstellen sowie Systeme zur interaktiven Benutzerunterstützung einrichten,"Auf Benutzerprobleme eingehen, Vorschläge zur Problembeseitigung unterbreiten",,,,,
10.,Fachaufgaben im Einsatzgebiet,,,,,,,,,,
10.1,"Produkte, Prozesse und Verfahren",Bereichs- und produktspezifische Informationen nutzen,"Die für das Einsatzgebiet typischen Produkte, Prozesse und Verfahren im Hinblick auf die Anforderungen an Anwendungslösungen analysieren und in ein Lösungskonzept umsetzen",Die für das Einsatzgebiet spezifischen Plattformen anwenden,"Informationswege, -strukturen und -verarbeitung sowie Schnittstellen zwischen verschiedenen Funktionsbereichen des Einsatzgebietes analysieren","Vorhandene Anwendungslösungen im Einsatzgebiet erfassen und nach Maßgabe ihrer Leistungsfähigkeit, Funktionalität, Wirtschaftlichkeit und Erweiterbarkeit bewerten",,,,,
10.2,Projektplanung,Projektziele festlegen und Teilaufgaben definieren,"Teilaufgaben unter Beachtung arbeitsorganisatorischer, sicherheitstechnischer und wirtschaftlicher Gesichtspunkte planen, insbesondere Personalplanung, Sachmittelplanung, Terminplanung und Kostenplanung durchführen",Einsatzgebietstypische Designverfahren anwenden,Projektplanungswerkzeuge anwenden,,,,,,
10.3,Projektdurchführung,Einsatzgebietsspezifische Anwendungslösungen unter Beachtung wirtschaftlicher und terminlicher Vorgaben erstellen,"Die im Einsatzgebiet typischen Programmbibliotheken, Programmodule, Prozeduren, Algorithmen und Optimierungsverfahren anwenden","Bei der Auftragsbearbeitung mit Kunden, internen Stellenund externen Dienstleistern zusammenarbeiten","Anwendungslösungen an Kunden übergeben, Abnahmeprotokolle anfertigen",Einführung von Anwendungslösungen unter Berücksichtigung der organisatorischen und terminlichen Vorgaben mit den Kunden abstimmen und kontrollieren,,,,,
10.4,"Projektkontrolle, Qualitätssicherung","Zielerreichung kontrollieren, insbesondere Soll-Ist-Vergleich aufgrund der Planungsdaten durchführen",Qualitätssicherungsmaßnahmen projektbegleitend durchführen,Projektablauf sowie Qualitätskontrollen und durchgeführte Testläufe dokumentieren,Bei Störungen im Projektablauf Kunden informieren und Lösungsalternativen aufzeigen,"Leistungenabrechnen, Nachkalkulation durchführen, abrechnungsrelevante Daten dokumentieren",,,,,
